symbol,name,exchange,CMP,move_start_date,vcp_quality,vcp_status,num_contractions,contractions,C1_pct,C2_pct,C3_pct,depths_decreasing,final_contraction_tight,vdu_confirmed,vdu_ratio,pivot,pct_from_pivot,breakout_vol_ratio,breakout_vol_gt40pct,near_52w_high,num_legs,leg_gains_pct,leg3_highest_pivot,leg3_vol_expansion,fib_ratio_L3_L1,fib_extension,cleared_52w_high,time_contraction,third_leg_confirmed,bars_daily,vcp_leg_score_10
KRISHNADEF,Krishna Defence And Allied Industries Limited,NSE,1164.9,2025-12-18,No VCP,AT PIVOT (actionable),3.0,C1:-18.4%/4b | C2:-11.8%/2b | C3:-9.6%/3b,18.4,11.8,9.6,True,True,False,1.06,1187.7,-1.92,1.14,False,False,10.0,L1:+53% | L2:+9% | L3:+30%,False,True,0.74,0.74x,False,True,False,353.0,6.0
KOTYARK,Kotyark Industries Limited,NSE,412.55,2026-01-29,No VCP,forming / still basing,3.0,C1:-16.4%/10b | C2:-10.9%/6b | C3:-10.6%/6b,16.4,10.9,10.6,True,True,True,0.21,464.0,-11.09,0.16,False,False,6.0,L1:+29% | L2:+58% | L3:+23%,False,True,1.43,1.43x,False,False,False,352.0,6.0
NRBBEARING,NRB Bearing Limited,NSE,385.65,2026-03-30,Moderate VCP,AT PIVOT (actionable),3.0,C1:-18.8%/7b | C2:-9.3%/5b | C3:-9.4%/6b,18.8,9.3,9.4,False,True,True,0.79,388.5,-0.73,1.32,False,True,3.0,L1:+45% | L2:+39% | L3:+11%,True,False,0.41,0.41x,False,False,False,353.0,6.0
BSE,BSE Limited,NSE,3880.0,2025-09-30,No VCP,forming / still basing,3.0,C1:-7.7%/2b | C2:-3.9%/5b | C3:-3.6%/3b,7.7,3.9,3.6,True,True,False,1.17,4425.0,-12.32,1.55,True,False,15.0,L1:+26% | L2:+21% | L3:+5%,False,False,0.26,0.26x,False,True,False,354.0,6.0
MAHABANK,Bank of Maharashtra,NSE,79.19,2025-09-26,Moderate VCP,AT PIVOT (actionable),3.0,C1:-8.8%/2b | C2:-11.3%/7b | C3:-6.4%/5b,8.8,11.3,6.4,False,True,True,0.55,82.2,-3.66,0.62,False,True,14.0,L1:+12% | L2:+4% | L3:+4%,False,True,0.34,0.34x,False,True,False,354.0,6.0
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,NSE,72.69,2026-03-30,No VCP,forming / still basing,3.0,C1:-13.0%/2b | C2:-6.9%/6b | C3:-7.9%/4b,13.0,6.9,7.9,False,True,True,0.75,79.4,-8.45,1.01,False,False,3.0,L1:+62% | L2:+29% | L3:+18%,True,False,0.53,0.53x,False,True,False,354.0,6.0
INOXINDIA,INOX India Limited,NSE,1578.8,2026-01-27,Moderate VCP,BROKEN OUT (fresh),3.0,C1:-10.0%/6b | C2:-10.5%/3b | C3:-7.3%/3b,10.0,10.5,7.3,False,True,True,0.72,1545.8,2.13,1.66,True,True,9.0,L1:+9% | L2:+8% | L3:+5%,False,False,0.52,0.52x,False,True,False,353.0,6.0
STLTECH,Sterlite Technologies Limited,NSE,619.25,2026-01-27,No VCP,extended past pivot,3.0,C1:-11.5%/2b | C2:-9.7%/2b | C3:-5.7%/3b,11.5,9.7,5.7,True,True,False,0.93,425.3,45.6,1.5,True,False,7.0,L1:+101% | L2:+31% | L3:+13%,False,False,0.25,0.25x,False,True,False,354.0,6.0
VENUSREM,Venus Remedies Limited,NSE,1633.5,2025-09-19,No VCP,extended past pivot,3.0,C1:-14.5%/4b | C2:-9.7%/2b | C3:-10.8%/5b,14.5,9.7,10.8,False,True,False,2.26,1016.15,60.75,2.53,True,True,16.0,L1:+15% | L2:+4% | L3:+85%,False,True,5.74,5.74x,True,False,False,352.0,6.0
CPPLUS,Aditya Infotech Limited,NSE,3501.9,2025-09-26,No VCP,extended past pivot,3.0,C1:-6.3%/2b | C2:-5.0%/2b | C3:-8.0%/3b,6.3,5.0,8.0,False,True,False,2.02,2555.0,37.06,2.13,True,True,14.0,L1:+15% | L2:+10% | L3:+18%,False,True,1.25,~1.272x,False,False,False,207.0,6.0
OLAELEC,Ola Electric Mobility Limited,NSE,44.88,2026-03-30,No VCP,extended past pivot,3.0,C1:-10.4%/7b | C2:-15.9%/5b | C3:-8.7%/5b,10.4,15.9,8.7,False,True,False,1.19,37.73,18.95,1.41,True,False,3.0,L1:+87% | L2:+12% | L3:+31%,True,False,0.55,0.55x,False,True,False,354.0,6.0
540252,Viram Suvarn Ltd,BSE,10.93,2025-12-01,No VCP,forming / still basing,3.0,C1:-8.3%/3b | C2:-16.7%/2b | C3:-11.3%/8b,8.3,16.7,11.3,False,True,True,0.65,11.95,-8.54,0.34,False,False,8.0,L1:+20% | L2:+21% | L3:+14%,False,True,0.74,0.74x,False,True,False,351.0,6.0
ACUTAAS,Acutaas Chemicals Limited,NSE,3328.3,2025-09-30,Moderate VCP,extended past pivot,3.0,C1:-18.5%/2b | C2:-5.1%/1b | C3:-5.0%/1b,18.5,5.1,5.0,True,True,False,0.88,2849.9,16.79,1.92,True,True,12.0,L1:+41% | L2:+11% | L3:+13%,False,False,0.42,0.42x,False,False,False,354.0,6.0
SURYODAY,Suryoday Small Finance Bank Limited,NSE,171.83,2026-02-24,No VCP,BROKEN OUT (fresh),3.0,C1:-10.2%/2b | C2:-14.6%/10b | C3:-2.8%/3b,10.2,14.6,2.8,False,True,True,0.67,166.67,3.1,0.47,False,False,7.0,L1:+19% | L2:+6% | L3:+9%,False,True,0.51,0.51x,False,True,False,353.0,6.0
JETFREIGHT,Jet Freight Logistics Limited,NSE,23.54,2025-11-03,Moderate VCP,AT PIVOT (actionable),3.0,C1:-17.0%/11b | C2:-11.2%/9b | C3:-10.4%/7b,17.0,11.2,10.4,True,True,False,2.61,23.8,-1.09,7.48,True,True,13.0,L1:+22% | L2:+52% | L3:+5%,False,False,0.34,0.34x,False,True,False,353.0,6.0
SIS,SIS LIMITED,NSE,417.05,2026-03-23,No VCP,BROKEN OUT (fresh),3.0,C1:-5.8%/1b | C2:-9.3%/5b | C3:-6.1%/4b,5.8,9.3,6.1,False,True,False,2.01,409.5,1.84,2.95,True,True,3.0,L1:+58% | L2:+11% | L3:+14%,True,False,0.37,0.37x,False,True,False,353.0,6.0
KTKBANK,The Karnataka Bank Limited,NSE,262.0,2025-09-29,Moderate VCP,AT PIVOT (actionable),3.0,C1:-10.8%/3b | C2:-6.6%/2b | C3:-13.3%/10b,10.8,6.6,13.3,False,True,True,0.73,274.0,-4.38,0.35,False,True,15.0,L1:+3% | L2:+2% | L3:+9%,False,True,2.96,2.96x,False,True,False,354.0,6.0
RSWM,RSWM Limited,NSE,197.1,2026-03-30,No VCP,BROKEN OUT (fresh),3.0,C1:-5.1%/5b | C2:-12.9%/7b | C3:-9.3%/4b,5.1,12.9,9.3,False,True,False,5.44,185.0,6.54,24.51,True,True,4.0,L1:+36% | L2:+15% | L3:+19%,False,True,0.69,0.69x,False,False,False,353.0,6.0
GCSL,Gretex Corporate Services Limited,NSE,424.0,2025-10-17,No VCP,AT PIVOT (actionable),3.0,C1:-9.1%/2b | C2:-8.3%/4b | C3:-7.7%/2b,9.1,8.3,7.7,True,True,False,1.34,424.0,0.0,1.65,True,True,14.0,L1:+80% | L2:+14% | L3:+10%,False,False,0.2,0.20x,False,True,False,185.0,6.0
