rank,symbol,name,exchange,price_180d_ago,past_date_used,price_today,return_pct_final,mktcap_cr,cap_bucket,sector,avg_daily_volume,avg_daily_value_rs,penny_flag,xsrc_price,xsrc_mismatch_pct,xsrc_ok,isin_norm,yahoo_ticker,industry
225,KTKBANK,The Karnataka Bank Limited,NSE,202.2,2025-12-12,270.6,33.83,10237.61,Mid,Financial Services,4651476.0,1001200106.0,False,270.7,0.04,True,INE614B01018,KTKBANK.NS,Banks - Regional
226,DSSL,Dynacons Systems & Solutions Limited,NSE,978.8,2025-12-12,1309.3,33.77,1665.76,Small,Technology,173179.0,197864169.0,False,1307.8,0.11,True,INE417B01040,DSSL.NS,Information Technology Services
227,SCI,Shipping Corporation Of India Limited,NSE,225.42,2025-12-12,297.15,33.39,13831.9,Mid,Industrials,8399646.0,2337744647.0,False,296.95,0.07,True,INE109A01011,SCI.NS,Marine Shipping
228,LLOYDSME,Lloyds Metals And Energy Limited,NSE,1288.3,2025-12-12,1717.2,33.32,93585.67,Large,Basic Materials,579515.0,811446618.0,False,1716.65,0.03,True,INE281B01032,LLOYDSME.NS,Steel
229,DIVGIITTS,Divgi Torqtransfer Systems Limited,NSE,593.5,2025-12-12,788.75,32.9,2390.97,Small,Consumer Cyclical,33895.0,24830995.0,False,781.8,0.89,True,INE753U01022,DIVGIITTS.NS,Auto Parts
230,CHENNPETRO,Chennai Petroleum Corporation Limited,NSE,927.4,2025-12-12,1226.4,32.71,18266.96,Mid,Energy,2670148.0,2573450339.0,False,1226.7,0.02,True,INE178A01016,CHENNPETRO.NS,Oil & Gas Refining & Marketing
231,ARFIN,Arfin India Limited,NSE,64.88,2025-12-12,85.71,32.64,1443.25,Small,Basic Materials,1184713.0,100196326.0,False,85.54,0.2,True,INE784R01023,ARFIN.NS,Aluminum
232,EXICOM,Exicom Tele-Systems Limited,NSE,111.22,2025-12-12,147.37,32.5,2051.43,Small,Industrials,1770037.0,247013160.0,False,147.5,0.09,True,INE777F01014,EXICOM.NS,Electrical Equipment & Parts
233,540252,Viram Suvarn Ltd,BSE,8.34,2025-12-12,11.05,32.49,116.75,Micro,n/a,407587.0,4401164.0,False,10.29,7.39,False,INE607V01028,540252.BO,
234,KESORAMIND,Kesoram Industries Limited,NSE,8.19,2025-12-12,10.85,32.48,341.7,Micro,Basic Materials,2445819.0,23178531.0,False,11.0,1.36,True,INE087A01019,KESORAMIND.NS,Building Materials
