symbol,close,bars,prior_uptrend,pct_above_52w_low,above_ema200,num_contractions,contractions,depths_decreasing,dur_decreasing,vdu_confirmed,vdu_ratio,near_52w_high,pivot,pct_from_pivot,breakout_vol_ratio,breakout_close_pos,vcp_status,vcp_quality,entry_zone,gann_days_since_low,gann_low_price,gann_low_date,gann_gann_unit_per_bar,gann_g1x1,gann_g2x1,gann_g1x2,gann_above_1x1,gann_above_2x1,gann_gann_trend,sq9_T1_+0.25,sq9_T2_+0.5,sq9_T3_+1.0,sq9_S1_-0.25,sq9_S2_-0.5,next_gann_cycle_days,days_to_next_cycle,near_gann_cycle,octave,octave_n,octave_levels,nearest_cardinal_sq,cardinal_dist_pct,near_cardinal,cardinal_below,cardinal_above
SHADOWFAX,223.25,118,False,126.5,False,3,C1:-12.4%/8b | C2:-7.3%/2b | C3:-11.3%/5b,False,False,False,1.24,True,233.89,-4.55,2.54,0.65,AT PIVOT (actionable),No VCP,n/a,115,98.55,2026-01-30,0.568,163.84,229.14,131.2,True,False,strong (>1x1),230.78,238.44,254.13,215.84,208.56,120,5,True,7/8 (exhaustion),7,4/8=170.09 6/8=205.86 7/8=223.75,225,0.78,True,196,225
RUBYMILLS,413.6,350,True,144.7,True,3,C1:-9.2%/5b | C2:-13.5%/5b | C3:-10.9%/8b,False,False,True,0.52,True,348.95,18.53,0.72,0.59,extended past pivot,Moderate VCP,348.95-366.4,93,169.02,2026-03-02,1.0,261.99,354.97,215.51,True,True,very strong (>2x1),423.83,434.19,455.27,403.49,393.51,120,27,True,8/8 (52w high),8,4/8=294.99 6/8=357.97 7/8=389.46,400,3.29,False,400,441
RPTECH,734.45,352,True,166.5,True,3,C1:-7.2%/3b | C2:-8.7%/2b | C3:-10.2%/4b,False,False,True,0.34,False,799.7,-8.16,0.46,0.12,forming / still basing,No VCP,n/a,152,316.3,2025-12-08,2.132,640.36,964.41,478.33,True,False,strong (>1x1),748.06,761.8,789.65,720.96,707.6,180,28,False,7/8 (exhaustion),7,4/8=544.22 6/8=678.54 7/8=745.69,729,0.74,True,729,784
WELCORP,1581.5,352,True,122.7,True,3,C1:-6.3%/3b | C2:-3.2%/5b | C3:-7.6%/3b,False,False,False,1.64,True,1525.0,3.7,1.0,0.05,BROKEN OUT (fresh),No VCP,n/a,114,710.0,2026-02-02,3.924,1157.31,1604.63,933.66,True,False,strong (>1x1),1601.45,1621.52,1662.04,1561.68,1541.98,120,6,False,8/8 (52w high),8,4/8=1204.4 6/8=1451.6 7/8=1575.2,1600,1.17,True,1521,1600
ATHERENERG,1282.2,302,True,289.5,True,3,C1:-11.7%/9b | C2:-10.6%/8b | C3:-3.1%/2b,True,True,False,1.67,True,1154.9,11.02,0.89,0.93,extended past pivot,Moderate VCP,1154.9-1212.65,174,582.05,2025-11-06,4.031,1283.44,1984.82,932.74,False,False,moderate (>1x2),1300.17,1318.26,1354.82,1264.36,1246.64,180,6,False,8/8 (52w high),8,4/8=837.1 6/8=1091.05 7/8=1218.03,1296,1.08,True,1225,1296
SCHNEIDER,1278.5,352,True,123.6,True,3,C1:-11.4%/9b | C2:-24.1%/10b | C3:-8.1%/2b,False,False,True,0.48,False,1511.4,-15.41,0.47,0.12,forming / still basing,No VCP,n/a,121,571.85,2026-01-21,3.874,1040.56,1509.26,806.2,True,False,strong (>1x1),1296.44,1314.51,1351.01,1260.68,1242.99,144,23,True,6/8 (75%),6,4/8=1059.92 6/8=1303.96 7/8=1425.98,1296,1.37,True,1225,1296
VIDYAWIRES,94.82,151,False,115.2,False,3,C1:-25.6%/8b | C2:-14.0%/3b | C3:-4.9%/2b,True,True,True,0.14,False,98.5,-3.74,0.21,0.85,AT PIVOT (actionable),No VCP,n/a,118,44.06,2026-01-27,0.291,78.38,112.7,61.22,True,False,strong (>1x1),99.75,104.81,115.3,90.01,85.33,120,2,True,6/8 (75%),6,4/8=80.7 6/8=99.03 7/8=108.19,100,5.46,False,81,100
EBGNG,543.0,240,True,127.2,True,3,C1:-9.2%/6b | C2:-14.1%/4b | C3:-10.2%/3b,False,True,True,0.54,False,689.5,-21.25,0.51,0.0,forming / still basing,No VCP,n/a,118,239.0,2026-01-27,1.788,449.95,660.9,344.47,True,False,strong (>1x1),554.71,566.55,590.6,531.41,519.95,120,2,True,6/8 (75%),6,4/8=464.25 6/8=576.88 7/8=633.19,529,2.58,False,529,576
IOLCP,148.33,352,True,120.8,True,3,C1:-12.5%/4b | C2:-10.6%/2b | C3:-8.7%/3b,True,False,True,0.83,False,179.0,-17.13,0.97,0.09,forming / still basing,No VCP,n/a,85,67.19,2026-03-16,0.446,105.11,143.02,86.15,True,True,very strong (>2x1),154.48,160.76,173.69,142.3,136.4,90,5,True,6/8 (75%),6,4/8=123.4 6/8=151.5 7/8=165.55,144,2.92,False,144,169
NGLFINE,3131.9,352,True,166.4,True,3,C1:-12.3%/2b | C2:-10.1%/2b | C3:-8.3%/3b,True,False,True,0.2,True,3300.0,-5.09,0.26,0.62,forming / still basing,Strong VCP,3300.0-3465.0,143,1271.0,2025-12-19,8.546,2493.03,3715.05,1882.01,True,False,strong (>1x1),3159.94,3188.11,3244.83,3103.98,3076.19,144,1,True,8/8 (52w high),8,4/8=2252.25 6/8=2790.62 7/8=3059.81,3136,0.13,True,3025,3136
