symbol,name,exchange,yahoo_ticker,close,rsi,adx,macd_hist,vol_spike,dist_52wh_pct,adv_value_cr,atr_pct,prime_score,not_extended,checks
PARKHOSPS,Park Medi World Limited,NSE,PARKHOSPS.NS,289.05,57.2,28.3,0.553,2.19,-5.23,22.95,4.09,8,False,111111101
PARAS,Paras Defence and Space Technologies Limited,NSE,PARAS.NS,1311.0,65.6,40.8,-6.802,1.66,-9.15,419.37,5.32,6,False,100110111
PARADEEP,Paradeep Phosphates Limited,NSE,PARADEEP.NS,140.25,66.5,22.4,0.475,0.61,-40.16,65.56,2.73,7,True,111011110
PACEDIGITK,Pace Digitek Limited,NSE,PACEDIGITK.NS,212.25,65.4,18.9,1.852,1.47,-8.49,70.99,4.27,7,False,111011101
OLAELEC,Ola Electric Mobility Limited,NSE,OLAELEC.NS,44.56,58.5,24.1,-0.171,3.52,-37.46,543.2,4.94,7,True,101111110
PAISALO,Paisalo Digital Limited,NSE,PAISALO.NS,72.05,84.3,57.0,0.818,6.52,-3.81,77.02,3.63,7,False,010111111
PREMEXPLN,Premier Explosives Limited,NSE,PREMEXPLN.NS,773.0,60.0,33.2,-0.763,2.65,-6.85,86.43,5.21,6,False,100110111
RHIM,RHI MAGNESITA INDIA LIMITED,NSE,RHIM.NS,412.05,61.7,14.8,3.032,23.24,-23.37,66.53,4.76,6,True,110111001
RGL,Renaissance Global Limited,NSE,RGL.NS,120.51,70.8,31.9,0.92,0.72,-18.52,8.23,3.45,7,True,110011111
RESPONIND,Responsive Industries Limited,NSE,RESPONIND.NS,201.99,64.4,36.2,0.894,0.27,-19.53,6.36,4.39,6,True,110010111
PANACEABIO,Panacea Biotec Limited,NSE,PANACEABIO.NS,541.9,57.9,44.3,-5.314,1.07,-16.24,50.02,5.9,6,False,100011111
RICOAUTO,Rico Auto Industries Limited,NSE,RICOAUTO.NS,138.31,57.0,26.8,-1.039,0.91,-11.9,46.63,4.63,7,False,101011111
RISHABH,Rishabh Instruments Limited,NSE,RISHABH.NS,632.15,72.3,30.8,2.322,4.39,-2.6,12.57,4.14,7,False,110111110
RIIL,Reliance Industrial Infrastructure Limited,NSE,RIIL.NS,823.85,54.1,47.3,-4.115,3.49,-15.51,11.59,3.19,6,True,000111111
PAGEIND,Page Industries Limited,NSE,PAGEIND.NS,42980.0,69.4,36.1,301.192,2.96,-12.96,114.73,2.63,8,True,110111111
RITES,RITES Limited,NSE,RITES.NS,226.4,64.1,26.7,2.007,35.65,-24.48,61.71,3.37,9,True,111111111
REDTAPE,Redtape Limited,NSE,REDTAPE.NS,137.07,56.0,30.0,0.088,1.02,-16.17,13.83,3.4,8,True,111011111
RECLTD,REC Limited,NSE,RECLTD.NS,369.85,63.3,24.8,1.224,1.85,-9.41,203.01,2.02,9,True,111111111
REDINGTON,Redington Limited,NSE,REDINGTON.NS,278.0,65.0,43.0,0.234,1.05,-15.55,131.13,3.62,7,True,110011111
RELAXO,Relaxo Footwears Limited,NSE,RELAXO.NS,407.15,70.1,42.3,3.633,3.18,-22.6,51.17,4.28,8,True,110111111
