symbol,name,exchange,yahoo_ticker,series_or_group,isin,bse_sector,bse_mktcap_cr,isin_norm
ALLCARGO,Allcargo Logistics Limited,NSE,ALLCARGO.NS,EQ,INE418H01029,,,INE418H01029
ANTELOPUS,Antelopus Selan Energy Limited,NSE,ANTELOPUS.NS,EQ,INE818A01017,,,INE818A01017
ANANTRAJ,Anant Raj Limited,NSE,ANANTRAJ.NS,EQ,INE242C01024,,,INE242C01024
ANDHRAPAP,ANDHRA PAPER LIMITED,NSE,ANDHRAPAP.NS,EQ,INE435A01051,,,INE435A01051
ANDHRSUGAR,The Andhra Sugars Limited,NSE,ANDHRSUGAR.NS,EQ,INE715B01021,,,INE715B01021
ANGELONE,Angel One Limited,NSE,ANGELONE.NS,EQ,INE732I01021,,,INE732I01021
ANIKINDS,Anik Industries Limited,NSE,ANIKINDS.NS,BE,INE087B01017,,,INE087B01017
ANMOL,Anmol India Limited,NSE,ANMOL.NS,EQ,INE02AR01019,,,INE02AR01019
ANTGRAPHIC,Antarctica Limited,NSE,ANTGRAPHIC.NS,EQ,INE414B01021,,,INE414B01021
AMRUTANJAN,Amrutanjan Health Care Limited,NSE,AMRUTANJAN.NS,EQ,INE098F01031,,,INE098F01031
ANTHEM,Anthem Biosciences Limited,NSE,ANTHEM.NS,EQ,INE0CZ201020,,,INE0CZ201020
ANUHPHR,Anuh Pharma Limited,NSE,ANUHPHR.NS,EQ,INE489G01022,,,INE489G01022
ANUP,The Anup Engineering Limited,NSE,ANUP.NS,EQ,INE294Z01018,,,INE294Z01018
ANURAS,Anupam Rasayan India Limited,NSE,ANURAS.NS,EQ,INE930P01018,,,INE930P01018
APARINDS,Apar Industries Limited,NSE,APARINDS.NS,EQ,INE372A01015,,,INE372A01015
APCL,Anjani Portland Cement Limited,NSE,APCL.NS,EQ,INE071F01012,,,INE071F01012
ANANDRATHI,Anand Rathi Wealth Limited,NSE,ANANDRATHI.NS,EQ,INE463V01026,,,INE463V01026
AMNPLST,Amines & Plasticizers Limited,NSE,AMNPLST.NS,EQ,INE275D01022,,,INE275D01022
ALLDIGI,Alldigi Tech Limited,NSE,ALLDIGI.NS,EQ,INE835G01018,,,INE835G01018
AMANTA,Amanta Healthcare Limited,NSE,AMANTA.NS,EQ,INE084K01015,,,INE084K01015
ALLTIME,All Time Plastics Limited,NSE,ALLTIME.NS,EQ,INE0GV601021,,,INE0GV601021
ALMONDZ,Almondz Global Securities Limited,NSE,ALMONDZ.NS,EQ,INE326B01035,,,INE326B01035
ALOKINDS,Alok Industries Limited,NSE,ALOKINDS.NS,EQ,INE270A01029,,,INE270A01029
ALPA,Alpa Laboratories Limited,NSE,ALPA.NS,EQ,INE385I01010,,,INE385I01010
ALPHAGEO,Alphageo (India) Limited,NSE,ALPHAGEO.NS,EQ,INE137C01018,,,INE137C01018
AMAGI,Amagi Media Labs Limited,NSE,AMAGI.NS,EQ,INE121R01077,,,INE121R01077
AMBALALSA,Ambalal Sarabhai Enterprises Limited,NSE,AMBALALSA.NS,EQ,INE432A01017,,,INE432A01017
AMJLAND,Amj Land Holdings Limited,NSE,AMJLAND.NS,EQ,INE606A01024,,,INE606A01024
AMBER,Amber Enterprises India Limited,NSE,AMBER.NS,EQ,INE371P01015,,,INE371P01015
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,NSE,AMBICAAGAR.NS,EQ,INE792B01012,,,INE792B01012
AMBIKCO,Ambika Cotton Mills Limited,NSE,AMBIKCO.NS,EQ,INE540G01014,,,INE540G01014
AMBUJACEM,Ambuja Cements Limited,NSE,AMBUJACEM.NS,EQ,INE079A01024,,,INE079A01024
AMDIND,AMD Industries Limited,NSE,AMDIND.NS,EQ,INE005I01014,,,INE005I01014
AMIRCHAND,Amir Chand Jagdish Kumar (Exports) Limited,NSE,AMIRCHAND.NS,EQ,INE05TO01019,,,INE05TO01019
AGARIND,Agarwal Industrial Corporation Limited,NSE,AGARIND.NS,EQ,INE204E01012,,,INE204E01012
AFIL,Akme Fintrade (India) Limited,NSE,AFIL.NS,BE,INE916Y01027,,,INE916Y01027
APEX,Apex Frozen Foods Limited,NSE,APEX.NS,EQ,INE346W01013,,,INE346W01013
AFFORDABLE,Affordable Robotic & Automation Limited,NSE,AFFORDABLE.NS,BE,INE692Z01013,,,INE692Z01013
AARTIPHARM,Aarti Pharmalabs Limited,NSE,AARTIPHARM.NS,EQ,INE0LRU01027,,,INE0LRU01027
AARTISURF,Aarti Surfactants Limited,NSE,AARTISURF.NS,EQ,INE09EO01013,,,INE09EO01013
AARVI,Aarvi Encon Limited,NSE,AARVI.NS,EQ,INE754X01016,,,INE754X01016
AAVAS,Aavas Financiers Limited,NSE,AAVAS.NS,EQ,INE216P01012,,,INE216P01012
ABANSENT,Abans Enterprises Limited,NSE,ABANSENT.NS,BE,INE365O01028,,,INE365O01028
ABB,ABB India Limited,NSE,ABB.NS,EQ,INE117A01022,,,INE117A01022
ABBOTINDIA,Abbott India Limited,NSE,ABBOTINDIA.NS,EQ,INE358A01014,,,INE358A01014
ABCAPITAL,Aditya Birla Capital Limited,NSE,ABCAPITAL.NS,EQ,INE674K01013,,,INE674K01013
ABCOTS,A B Cotspin India Limited,NSE,ABCOTS.NS,EQ,INE08PH01015,,,INE08PH01015
ABDL,Allied Blenders and Distillers Limited,NSE,ABDL.NS,EQ,INE552Z01027,,,INE552Z01027
ABFRL,Aditya Birla Fashion and Retail Limited,NSE,ABFRL.NS,EQ,INE647O01011,,,INE647O01011
ABINFRA,A B Infrabuild Limited,NSE,ABINFRA.NS,EQ,INE00YB01025,,,INE00YB01025
ABLBL,Aditya Birla Lifestyle Brands Limited,NSE,ABLBL.NS,EQ,INE14LE01019,,,INE14LE01019
ABMINTLLTD,ABM International Limited,NSE,ABMINTLLTD.NS,EQ,INE251C01025,,,INE251C01025
ABMKNO,ABM Knowledgeware Limited,NSE,ABMKNO.NS,EQ,INE850B01026,,,INE850B01026
AARTIIND,Aarti Industries Limited,NSE,AARTIIND.NS,EQ,INE769A01020,,,INE769A01020
