rank,symbol,name,exchange,sector,cap_bucket,return_pct_final,close,scorecard,vcp_quality,vcp_status,pd_zone,structure_D,octave,ind_score_40,struct_score_25,vcp_score_20,gann_score_15,TOTAL_100,tier,audit
188,JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,NSE,Healthcare,,30.15,224.08,MILD BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),4/8 (50%),20,22,5,10,57,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;D_time_cycle:4;D_octave_key:3;D_room_to_run:3
189,JAYBARMARU,Jay Bharat Maruti Limited,NSE,Consumer Cyclical,,94.65,170.79,MILD BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),6/8 (75%),23,17,5,11,56,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
190,SETCO,Setco Automotive Limited,NSE,Consumer Cyclical,,38.22,18.01,MILD BULLISH,No VCP,forming / still basing,Discount,ranging,4/8 (50%),24,17,5,10,56,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_mfi_rising_low:3;A_cci_above0:2;A_adx_20_28:4;A_supertrend_green:3;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;D_time_cycle:4;D_octave_key:3;D_room_to_run:3
191,GLOTTIS,Glottis Limited,NSE,Industrials,,26.67,67.2,NEUTRAL,No VCP,AT PIVOT (actionable),Premium,bearish (LH/LL),5/8,21,15,12,8,56,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_mfi_rising_low:3;A_cci_above0:2;A_adx_20_28:4;A_supertrend_green:3;B_discount_or_demand:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_room_to_run:3
192,JASH,Jash Engineering Limited,NSE,Industrials,,39.55,520.45,BULLISH,No VCP,forming / still basing,Premium,ranging,6/8 (75%),23,17,5,11,56,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_mfi_rising_low:3;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_discount_or_demand:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
193,EMIL,Electronics Mart India Limited,NSE,Consumer Cyclical,,43.19,128.77,BULLISH,No VCP,forming / still basing,Premium,bullish (HH/HL),5/8,19,17,8,12,56,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_vdu:5;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4;D_room_to_run:3
194,ALIVUS,Alivus Life Sciences Limited,NSE,Healthcare,,30.78,1133.3,MILD BULLISH,No VCP,AT PIVOT (actionable),Premium,bullish (HH/HL),7/8 (exhaustion),23,17,7,9,56,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_mfi_rising_low:3;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;D_above_1x1:5;D_time_cycle:4
195,SHILCTECH,Shilchar Technologies Limited,NSE,Industrials,,45.12,4413.9,MILD BULLISH,No VCP,AT PIVOT (actionable),Premium,ranging,5/8,15,17,12,12,56,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_obv_up:3;A_supertrend_green:3;B_discount_or_demand:5;B_ob_support:5;B_fvg:4;B_supply_cleared:3;C_3rd_leg:7;C_vdu:5;D_above_1x1:5;D_time_cycle:4;D_room_to_run:3
196,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,NSE,Consumer Cyclical,,27.92,775.95,BULLISH,Moderate VCP,AT PIVOT (actionable),Premium,ranging,7/8 (exhaustion),13,14,20,9,56,TIER 3,A_obv_up:3;A_cci_above0:2;A_ema_aligned:5;A_supertrend_green:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;C_valid_vcp:8;C_3rd_leg:7;C_vdu:5;C_chart_pattern:3;D_above_1x1:5;D_time_cycle:4
197,RAYMOND,Raymond Limited,NSE,Industrials,,56.61,604.75,NEUTRAL,No VCP,forming / still basing,Premium,ranging,6/8 (75%),20,20,5,11,56,TIER 3,A_rsi_45_65:5;A_bb_squeeze:4;A_ema_aligned:5;A_supertrend_green:3;A_atr_expanding:3;B_bull_bos:5;B_ob_support:5;B_fvg:4;B_liq_swept:3;B_supply_cleared:3;C_vdu:5;D_above_1x1:5;D_octave_key:3;D_room_to_run:3
