symbol,name,exchange,price_180d_ago,past_date_used,price_today,return_pct,mktcap_cr,cap_bucket,sector,avg_daily_volume,avg_daily_value_rs,penny_flag,isin_norm,yahoo_ticker
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,NSE,216.98,2026-01-05,283.4,30.61,3662.5,Small,,185050.0,43597378.0,False,INE414D01027,BHAGCHEM.NS
RAYMONDREL,Raymond Realty Limited,NSE,518.6,2026-01-05,676.0,30.35,4505.38,Small,,673447.0,377648825.0,False,INE1SY401010,RAYMONDREL.NS
SFL,Sheela Foam Limited,NSE,588.35,2026-01-05,766.55,30.29,8361.7,Mid,,229518.0,139601620.0,False,INE916U01025,SFL.NS
COMSYN,Commercial Syn Bags Limited,NSE,153.84,2026-01-05,200.31,30.21,812.83,Small,,138828.0,24051642.0,False,INE073V01015,COMSYN.NS
KIMS,Krishna Institute of Medical Sciences Limited,NSE,653.6,2026-01-05,850.65,30.15,35732.05,Large,,472849.0,333121837.0,False,INE967H01025,KIMS.NS
AVL,Aditya Vision Limited,NSE,490.65,2026-01-05,638.55,30.14,8256.44,Mid,,207652.0,110734667.0,False,INE679V01027,AVL.NS
APEX,Apex Frozen Foods Limited,NSE,310.45,2026-01-05,403.95,30.12,1261.25,Small,,1284871.0,483432252.0,False,INE346W01013,APEX.NS
JINDALPOLY,Jindal Poly Films Limited,NSE,476.85,2026-01-05,620.45,30.11,2719.79,Small,,228369.0,151926132.0,False,INE197D01010,JINDALPOLY.NS
WALCHANNAG,Walchandnagar Industries Limited,NSE,187.24,2026-01-05,243.55,30.07,1652.29,Small,,2077787.0,446038506.0,False,INE711A01022,WALCHANNAG.NS
VADILALIND,Vadilal Industries Limited,NSE,4897.6,2026-01-05,6361.5,29.89,4566.07,Small,,18134.0,91388695.0,False,INE694D01016,VADILALIND.NS
MMWL,Media Matrix Worldwide Limited,NSE,10.35,2026-04-22,13.44,29.86,1498.62,Small,,128960.0,1845378.0,False,INE200D01020,MMWL.NS
WELSPUNLIV,Welspun Living Limited,NSE,131.72,2026-01-05,170.93,29.77,16363.14,Mid,,3605563.0,509044928.0,False,INE192B01031,WELSPUNLIV.NS
SEAMECLTD,Seamec Limited,NSE,1103.7,2026-01-05,1431.7,29.72,3642.51,Small,,81906.0,111818527.0,False,INE497B01018,SEAMECLTD.NS
SEIL,Shanti Educational Initiatives Limited,NSE,181.0,2026-04-21,234.08,29.33,3764.18,Small,,541446.0,111166643.0,False,INE440T01028,SEIL.NS
RAMRAT,Ram Ratna Wires Limited,NSE,305.9,2026-01-05,395.6,29.32,3690.56,Small,,173169.0,67292479.0,False,INE207E01023,RAMRAT.NS
VIJAYA,Vijaya Diagnostic Centre Limited,NSE,1055.9,2026-01-05,1365.2,29.29,14043.35,Mid,,242977.0,278447820.0,False,INE043W01024,VIJAYA.NS
NELCO,NELCO Limited,NSE,719.1,2026-01-05,929.55,29.27,2120.51,Small,,245404.0,194899153.0,False,INE045B01015,NELCO.NS
JETFREIGHT,Jet Freight Logistics Limited,NSE,16.9,2026-01-05,21.83,29.17,100.6,Micro,,191075.0,3734816.0,False,INE982V01025,JETFREIGHT.NS
SERVOTECH,Servotech Renewable Power System Limited,NSE,78.5,2026-01-05,101.37,29.13,,n/a,,1325813.0,117905790.0,False,INE782X01033,SERVOTECH.NS
ELECTHERM,Electrotherm (India) Limited,NSE,930.75,2026-01-05,1200.3,28.96,1529.65,Small,,65475.0,61127687.0,False,INE822G01016,ELECTHERM.NS
ASTERDM,Aster DM Healthcare Limited,NSE,615.25,2026-01-05,793.2,28.92,41071.45,Large,,779533.0,527268375.0,False,INE914M01019,ASTERDM.NS
MENNPIS,Menon Pistons Limited,NSE,57.0,2026-04-20,73.45,28.86,373.27,Micro,,69684.0,4650595.0,False,INE650G01029,MENNPIS.NS
UNIVASTU,Univastu India Limited,NSE,68.61,2026-01-05,88.41,28.86,,n/a,,109034.0,8170405.0,False,INE562X01013,UNIVASTU.NS
ALIVUS,Alivus Life Sciences Limited,NSE,898.6,2026-01-05,1157.7,28.83,14200.34,Mid,,93444.0,91941328.0,False,INE03Q201024,ALIVUS.NS
MARINE,Marine Electricals (India) Limited,NSE,217.66,2026-01-05,280.3,28.78,,n/a,,532060.0,121434738.0,False,INE01JE01028,MARINE.NS
542669,BMW Industries Ltd,BSE,43.22,2026-01-05,55.65,28.76,1252.61,Small,,267790.0,13040787.0,False,INE374E01021,542669.BO
535916,Alacrity Securities Ltd,BSE,52.63,2026-01-05,67.73,28.69,316.03,Micro,,55765.0,3442652.0,False,INE030P01017,535916.BO
DHANBANK,Dhanlaxmi Bank Limited,NSE,26.5,2026-01-05,34.09,28.64,1341.98,Small,,1328407.0,39500348.0,False,INE680A01011,DHANBANK.NS
PASUPTAC,Pasupati Acrylon Limited,NSE,49.54,2026-01-05,63.71,28.6,571.52,Small,,277367.0,16666617.0,False,INE818B01023,PASUPTAC.NS
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,NSE,1840.2,2026-01-05,2364.6,28.5,37944.04,Large,,264715.0,539171425.0,False,INE572A01036,JBCHEPHARM.NS
526775,Valiant Communications Ltd-$,BSE,841.8,2026-01-05,1080.45,28.35,1263.27,Small,,15328.0,14893747.0,False,INE760B01019,526775.BO
GULPOLY,Gulshan Polyols Limited,NSE,149.45,2026-01-05,191.78,28.32,1195.02,Small,,259096.0,47217335.0,False,INE255D01024,GULPOLY.NS
ORIENTHOT,Oriental Hotels Limited,NSE,108.54,2026-01-05,139.26,28.3,2489.67,Small,,551580.0,67135547.0,False,INE750A01020,ORIENTHOT.NS
ADOR,Ador Welding Limited,NSE,1028.1,2026-01-05,1317.8,28.18,2286.64,Small,,24940.0,26338086.0,False,INE045A01017,ADOR.NS
WSTCSTPAPR,West Coast Paper Mills Limited,NSE,413.1,2026-01-05,529.4,28.15,3493.99,Small,,98078.0,46429493.0,False,INE976A01021,WSTCSTPAPR.NS
HAPPYFORGE,Happy Forgings Limited,NSE,1170.5,2026-01-05,1499.1,28.07,14135.1,Mid,,76713.0,101371109.0,False,INE330T01021,HAPPYFORGE.NS
KIRLOSIND,Kirloskar Industries Limited,NSE,3203.3,2026-01-05,4099.9,27.99,4333.28,Small,,15469.0,56802678.0,False,INE250A01039,KIRLOSIND.NS
MCX,Multi Commodity Exchange of India Limited,NSE,2199.0,2026-01-05,2814.0,27.97,71762.35,Large,,3332041.0,8589829512.0,False,INE745G01043,MCX.NS
ENRIN,Siemens Energy India Limited,NSE,2564.5,2026-01-05,3281.5,27.96,117030.1,Large,,679496.0,2071374410.0,False,INE1NPP01017,ENRIN.NS
SONAMLTD,SONAM LIMITED,NSE,41.95,2026-01-05,53.67,27.94,,n/a,,63920.0,3164775.0,False,INE00LM01029,SONAMLTD.NS
INVPRECQ,Investment & Precision Castings Limited,NSE,672.1,2026-04-20,859.8,27.93,859.85,Small,,7703.0,5364765.0,False,INE155E01016,INVPRECQ.NS
GESHIP,The Great Eastern Shipping Company Limited,NSE,1125.9,2026-01-05,1440.4,27.93,21169.05,Large,,768034.0,1124593706.0,False,INE017A01032,GESHIP.NS
