symbol,name,exchange,yahoo_ticker,isin,price_180d_ago,past_date_used,price_today,return_pct,avg_daily_volume,avg_daily_value_rs,bars,status
540147,Shashijit Infraprojects Ltd,BSE,540147.BO,INE700V01021,3.85,2025-12-05,2.65,-31.17,31582.0,101293.0,152.0,ok
539545,Apoorva Leasing Finance and Investment Company Ltd,BSE,539545.BO,INE217S01014,33.87,2025-12-05,35.77,5.61,438.0,15507.0,152.0,ok
540132,Sabrimala Industries India Ltd,BSE,540132.BO,INE400R01018,15.75,2025-12-05,12.69,-19.43,15645.0,208362.0,152.0,ok
540082,Riddhi Steel and Tube Ltd,BSE,540082.BO,INE367U01013,117.33,2025-12-05,265.0,125.85,6912.0,1116696.0,155.0,ok
540097,Gamco Ltd,BSE,540097.BO,INE890S01026,39.0,2025-12-05,41.36,6.05,41410.0,1644890.0,152.0,ok
540135,ARC Finance Ltd,BSE,540135.BO,INE202R01026,0.69,2025-12-05,0.54,-21.74,2127752.0,1355196.0,152.0,ok
539669,RGF Capital Markets Ltd,BSE,539669.BO,INE684D01025,0.66,2025-12-05,1.54,133.33,469720.0,408587.0,152.0,ok
540144,DRA Consultants Ltd,BSE,540144.BO,INE746V01016,16.08,2025-12-05,19.49,21.21,4594.0,76550.0,154.0,ok
540146,Aditya Consumer Marketing Ltd,BSE,540146.BO,INE427V01013,44.0,2025-12-05,33.0,-25.0,4142.0,145159.0,154.0,ok
540143,Sagarsoft (India) Ltd,BSE,540143.BO,INE184B01012,110.9,2025-12-05,67.87,-38.8,1646.0,159162.0,152.0,ok
540148,Bindal Exports Ltd,BSE,540148.BO,INE564V01013,28.11,2025-12-05,26.6,-5.37,77.0,2030.0,155.0,ok
540154,Bandhan S&P BSE SENSEX ETF,BSE,540154.BO,INF194KA1T91,,,,,,,,no_data
540150,Mewar Hi-Tech Engineering Ltd,BSE,540150.BO,INE957U01011,57.58,2025-12-05,72.76,26.36,925.0,56646.0,154.0,ok
540151,Diksat Transworld Ltd,BSE,540151.BO,INE942P01013,120.0,2025-12-05,125.1,4.25,2612.0,290310.0,155.0,ok
540168,Supra Pacific Financial Services Ltd,BSE,540168.BO,INE268T01015,28.28,2025-12-05,33.97,20.12,55604.0,1558034.0,152.0,ok
540159,Purple Agrotech Industries Ltd,BSE,540159.BO,INE905R01016,6.24,2025-12-05,6.0,-3.85,15258.0,93977.0,152.0,ok
540198,Osiajee Texfab Ltd,BSE,540198.BO,INE186R01013,375.0,2025-12-05,395.85,5.56,23456.0,9563541.0,152.0,ok
540174,Southern Infoconsultants Ltd,BSE,540174.BO,INE298B01010,23.81,2025-12-05,22.5,-5.5,1433.0,33502.0,152.0,ok
540199,Corporate Merchant Bankers Ltd,BSE,540199.BO,INE850R01014,382.2,2025-12-05,57.0,-85.09,615.0,47890.0,152.0,ok
539900,Dalmia Industrial Development Ltd,BSE,539900.BO,INE642P01019,9.09,2025-12-05,11.5,26.51,2270.0,21365.0,152.0,ok
539895,Spice Lounge Food Works Ltd,BSE,539895.BO,INE631E01024,55.63,2025-12-05,24.5,-55.96,111868.0,4402257.0,152.0,ok
