symbol,name,exchange,yahoo_ticker,close,rsi,adx,macd_hist,vol_spike,dist_52wh_pct,adv_value_cr,atr_pct,prime_score,not_extended,checks,vcp_quality,vcp_status,struct,pd_zone,range_pos,near_demand,bull_bos,ob_support,gann_above_1x1,bearish_candle,last_candles,atr,pivot_entry,stop,struct_stop_ref,stop_pct,gann_T1,gann_T2,target2,rr,qty_per_10L,sec_bonus,phase7_score
LLOYDSENT,Lloyds Enterprises Limited,NSE,LLOYDSENT.NS,77.9,56.7,21.2,0.179,3.04,-11.88,33.82,4.43,9,True,111111111,No VCP,AT PIVOT (actionable),bearish (LH/LL),Premium,91.2,False,True,False,True,True,Bearish Harami;Bearish Pin Bar;Evening Star;Long-legged Doji,3.45,81.5,75.29,70.1,7.62,90.78,100.56,101.88,3.28,1610,5,11
RSWM,RSWM Limited,NSE,RSWM.NS,212.68,66.7,29.2,1.403,0.76,-5.05,3.86,4.41,8,False,111011111,Strong VCP,BROKEN OUT (fresh),bearish (LH/LL),Premium,89.1,False,True,True,True,True,Bearish Engulfing;Bearish Pin Bar;Doji;NR4;Shooting Star;Thr,9.37,220.0,203.13,185.0,7.67,235.08,250.66,275.0,3.26,592,6,11
SHAREINDIA,Share India Securities Limited,NSE,SHAREINDIA.NS,177.24,73.6,35.1,2.443,1.51,-16.0,62.78,4.74,8,True,110111111,No VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,77.8,False,True,True,True,True,Bullish Harami;Outside Bar;Three Black Crows,8.39,194.9,179.79,133.09,7.75,209.11,223.82,243.62,3.22,661,6,11
KALYANKJIL,Kalyan Jewellers India Limited,NSE,KALYANKJIL.NS,574.4,84.1,29.8,19.466,7.03,-7.01,983.63,4.4,8,False,011111111,No VCP,extended past pivot,ranging,Premium,98.8,False,True,True,True,False,Long-legged Doji;NR7,25.29,574.4,528.89,348.35,7.92,598.62,623.33,718.0,3.16,219,3,11
BHAGYANGR,Bhagyanagar India Limited,NSE,BHAGYANGR.NS,401.05,59.5,24.2,-3.456,0.87,-7.23,4.96,4.77,6,False,101010111,Moderate VCP,AT PIVOT (actionable),bullish (HH/HL),Premium,89.5,False,True,False,True,False,Inverted Hammer;NR4;Three White Soldiers,19.15,432.3,397.83,357.0,7.97,453.34,474.88,540.38,3.14,290,5,11
SPORTKING,Sportking India Limited,NSE,SPORTKING.NS,197.21,65.0,29.3,1.476,6.32,-6.05,10.06,4.74,9,False,111111111,No VCP,BROKEN OUT (fresh),bearish (LH/LL),Premium,90.2,False,True,True,True,True,Bearish Engulfing;Bearish Pin Bar;Bullish Harami;NR7;Shootin,9.36,209.9,193.06,168.04,8.02,224.64,239.88,262.38,3.12,593,5,11
PFOCUS,Prime Focus Limited,NSE,PFOCUS.NS,289.47,69.5,30.3,7.395,5.2,-21.13,13.37,4.64,8,False,110111111,No VCP,extended past pivot,ranging,Equilibrium,52.9,True,True,True,False,False,Bearish Harami;Bullish Pin Bar;Inside Bar;Long-legged Doji;N,13.43,296.37,272.2,202.54,8.16,313.84,331.8,370.46,3.07,413,3,11
NOVARTIND,Novartis India Limited,NSE,NOVARTIND.NS,1570.1,60.9,47.0,5.802,7.3,-8.87,6.02,5.11,7,False,110111101,No VCP,forming / still basing,ranging,Premium,85.4,True,True,True,True,False,Bearish Harami;Bullish Harami;NR4,80.23,1723.0,1578.59,1388.9,8.38,1764.76,1807.02,2153.75,2.98,69,4,11
PANACEABIO,Panacea Biotec Limited,NSE,PANACEABIO.NS,548.85,55.3,40.4,-3.722,0.53,-15.17,51.28,5.09,6,False,100011111,No VCP,AT PIVOT (actionable),bearish (LH/LL),Premium,72.3,False,True,True,True,False,Inside Bar;Tweezer Bottom,27.93,597.0,546.72,520.25,8.42,621.68,646.87,746.25,2.97,198,5,11
UTLSOLAR,Fujiyama Power Systems Limited,NSE,UTLSOLAR.NS,365.15,59.6,18.7,1.309,3.25,-9.27,16.28,5.16,8,False,111111101,No VCP,forming / still basing,bullish (HH/HL),Premium,83.8,False,True,True,True,False,Bullish Pin Bar;Doji;NR4,18.84,402.45,368.53,303.1,8.43,422.76,443.57,503.06,2.97,294,3,11
