symbol,bars,close,rsi,rsi_state,rsi_trend,rsi_div,stoch_k,stoch_d,stoch_cross,stoch_state,stoch_div,bb_pos,bb_width_pct,bb_squeeze,bb_state,ichi_price_cloud,ichi_tk,ichi_chikou,ichi_twist_ahead,cci,cci_state,williams_r,wr_state,obv_trend,obv_div,mfi,mfi_state,macd,macd_signal,macd_hist,macd_pos,macd_hist_state,macd_cross,macd_zero,ema20,ema50,ema200,ema_alignment,ema200_slope,px_vs_e20,px_vs_e50,px_vs_e200,adx,adx_regime,di,adx_dir,supertrend,supertrend_flip,atr,atr_pct,atr_state,vwap20,px_vs_vwap,vwap_dist_pct,pivot_P,pivot_R1,pivot_S1,wpivot_R1,wpivot_S1,px_vs_wpivot
GLAND,351,2449.0,55.9,neutral,falling,bearish,59.5,64.7,bear,neutral,none,above_mid,14.9,True,contracting,above,bullish,above,none,28.2,above0,-66.0,neutral,falling,none,57.3,neutral,66.559,74.403,-7.844,below_signal,expanding_neg,bear,above,2424.52,2278.57,1972.53,bullish,rising,above,above,above,47.8,trending,+DI>-DI,falling,green_buy,none,82.22,3.36,expanding,2419.51,above,1.22,2474.33,2513.67,2409.67,2559.2,2413.9,mid_range
AEROENTER,351,117.46,44.7,neutral,falling,none,13.1,16.4,bear,oversold,none,below_mid,29.42,True,contracting,above,bearish,above,none,-55.3,below0,-92.7,oversold,falling,none,22.6,neutral,0.798,3.427,-2.629,below_signal,contracting_neg,none,above,123.18,115.29,97.13,bullish,rising,below,above,above,26.3,trending,-DI>+DI,falling,red_sell,none,6.8,5.79,contracting,136.3,below,-13.82,117.5,119.71,115.26,134.31,115.52,mid_range
VINDHYATEL,352,1806.5,36.6,neutral,falling,none,10.5,13.3,bear,oversold,none,below_mid,24.97,True,expanding,inside,bearish,below,none,-120.5,strong_down,-96.7,oversold,falling,none,29.6,neutral,-43.267,-9.611,-33.656,below_signal,expanding_neg,none,below,1973.74,1907.04,1591.01,bullish,rising,below,below,above,19.9,choppy,-DI>+DI,falling,red_sell,none,106.27,5.88,contracting,2104.33,below,-14.15,1821.53,1848.07,1779.97,2068.47,1887.47,below_S1
CHENNPETRO,352,1200.6,57.5,neutral,rising,none,63.7,51.5,bull,neutral,none,above_mid,12.76,True,expanding,above,bearish,above,none,176.5,strong_up,-39.6,neutral,rising,none,77.0,neutral,17.381,9.85,7.531,above_signal,expanding_pos,bull,above,1148.06,1115.61,971.0,bullish,rising,above,above,above,20.0,transitional,+DI>-DI,rising,green_buy,none,55.82,4.65,expanding,1171.63,above,2.47,1215.87,1241.63,1174.83,1218.4,1111.5,mid_range
BETA,351,2229.1,61.0,neutral,flat,bearish,64.1,70.4,bear,neutral,bearish,above_mid,17.52,True,contracting,above,bullish,above,none,22.8,above0,-43.9,neutral,rising,none,59.4,neutral,141.555,155.73,-14.174,below_signal,expanding_neg,none,above,2135.13,1872.97,1621.99,bullish,rising,above,above,above,42.7,trending,+DI>-DI,falling,green_buy,none,124.4,5.58,expanding,2199.56,above,1.34,2274.97,2343.13,2160.93,2514.53,2099.53,mid_range
526873,350,54.45,60.6,neutral,falling,none,41.4,46.8,none,neutral,bearish,above_mid,16.78,False,expanding,above,bullish,above,bull,20.3,above0,-60.0,neutral,falling,bearish,53.5,neutral,1.703,1.892,-0.19,below_signal,expanding_neg,bear,above,53.57,50.45,45.82,bullish,rising,above,above,above,29.5,trending,+DI>-DI,falling,green_buy,none,0.96,1.77,expanding,53.9,above,1.02,54.42,54.53,54.33,60.04,54.01,mid_range
JINDALSAW,352,269.45,58.6,neutral,falling,none,52.0,44.4,bull,neutral,bearish,above_mid,8.18,True,contracting,above,bullish,above,none,45.2,above0,-31.2,neutral,rising,none,61.7,neutral,5.135,5.735,-0.6,below_signal,contracting_neg,bear,above,261.25,249.24,219.36,bullish,rising,above,above,above,13.8,choppy,+DI>-DI,falling,green_buy,none,11.19,4.15,expanding,262.26,above,2.74,267.0,272.45,264.0,286.97,256.62,mid_range
PANAMAPET,351,418.05,53.0,neutral,falling,none,41.8,40.0,none,neutral,none,below_mid,20.54,True,contracting,above,bearish,above,none,-24.1,below0,-68.8,neutral,rising,none,62.4,neutral,11.563,16.092,-4.529,below_signal,expanding_neg,none,above,416.83,383.59,328.76,bullish,rising,above,above,above,40.2,trending,+DI>-DI,falling,green_buy,none,20.97,5.02,contracting,459.49,below,-9.02,419.98,422.97,415.07,453.55,404.9,mid_range
KECL,352,119.11,56.9,neutral,rising,none,69.7,65.4,none,neutral,none,above_mid,14.7,True,contracting,above,bullish,above,none,43.8,above0,-28.3,neutral,rising,none,57.8,neutral,1.941,1.378,0.563,above_signal,contracting_pos,none,above,115.08,112.97,110.32,bullish,rising,above,above,above,14.2,choppy,+DI>-DI,falling,red_sell,none,4.62,3.88,expanding,115.68,above,2.97,118.9,121.71,116.31,122.29,107.79,mid_range
RADICO,351,4097.9,70.8,overbought,falling,none,81.7,79.0,bull,overbought,none,above_mid,13.0,True,contracting,above,bullish,above,none,37.3,above0,-20.9,neutral,flat,none,76.3,neutral,127.813,133.29,-5.477,below_signal,expanding_neg,bear,above,3962.47,3723.63,3223.3,bullish,rising,above,above,above,47.9,trending,+DI>-DI,falling,green_buy,none,87.46,2.13,contracting,3982.51,above,2.9,4098.57,4133.63,4062.83,4189.27,3930.67,mid_range
SOLARINDS,351,18467.0,56.3,neutral,flat,none,69.8,66.3,none,neutral,bearish,above_mid,8.82,True,contracting,above,bearish,above,none,53.3,above0,-26.0,neutral,falling,bullish,56.2,neutral,168.087,174.129,-6.042,below_signal,contracting_neg,none,above,18149.27,17571.04,15337.15,bullish,rising,above,above,above,15.6,choppy,-DI>+DI,falling,red_sell,none,561.51,3.04,contracting,18098.64,above,2.04,18436.0,18621.0,18282.0,19058.67,17220.67,mid_range
PANACEABIO,352,548.85,55.3,neutral,rising,none,39.2,32.9,bull,neutral,none,above_mid,8.08,True,contracting,above,bearish,above,none,15.1,above0,-62.7,neutral,rising,none,45.1,neutral,12.354,16.076,-3.722,below_signal,contracting_neg,none,above,540.43,500.63,424.74,bullish,rising,above,above,above,40.4,trending,+DI>-DI,falling,green_buy,none,27.93,5.09,contracting,552.26,below,-0.62,551.5,562.9,537.45,569.28,522.08,mid_range
EMIL,352,128.77,54.3,neutral,falling,none,53.2,56.1,bear,neutral,none,above_mid,21.06,True,contracting,above,bullish,above,bull,8.0,above0,-54.6,neutral,falling,none,69.8,neutral,4.055,4.576,-0.521,below_signal,expanding_neg,bear,above,127.92,121.12,116.27,bullish,rising,above,above,above,28.4,trending,+DI>-DI,falling,green_buy,none,5.37,4.17,contracting,131.0,below,-1.7,129.47,131.17,127.07,140.47,128.38,mid_range
SCANSTL,62,48.3,68.9,neutral,rising,none,79.4,81.5,bear,neutral,none,above_mid,39.06,False,expanding,n/a,n/a,n/a,n/a,102.7,strong_up,-24.8,neutral,rising,none,82.1,overbought,2.919,2.192,0.727,above_signal,contracting_pos,none,above,43.91,40.52,,n/a (short),n/a,above,above,n/a,24.5,transitional,+DI>-DI,rising,green_buy,none,2.99,6.18,expanding,45.04,above,7.24,48.6,49.7,47.2,53.13,39.43,mid_range
MANCREDIT,350,233.39,55.1,neutral,falling,none,30.3,37.2,bear,neutral,none,below_mid,12.94,True,contracting,above,bullish,above,none,-19.9,below0,-70.2,neutral,rising,none,37.1,neutral,6.77,8.921,-2.151,below_signal,expanding_neg,none,above,231.92,215.46,188.32,bullish,rising,above,above,above,28.7,trending,+DI>-DI,falling,green_buy,none,14.27,6.12,contracting,237.42,below,-1.7,232.15,237.24,228.29,259.94,217.43,mid_range
UNIMECH,351,1282.8,65.1,neutral,rising,bearish,82.8,77.6,bull,overbought,bearish,above_upper,15.84,True,expanding,above,bullish,above,none,166.6,strong_up,-17.9,overbought,rising,none,83.7,overbought,42.844,36.076,6.768,above_signal,expanding_pos,bull,above,1184.4,1109.62,1015.97,bullish,rising,above,above,above,31.9,trending,+DI>-DI,rising,green_buy,none,59.36,4.63,expanding,1202.88,above,6.64,1286.0,1315.8,1253.0,1241.6,1136.8,above_R1
GOODLUCK,351,1546.6,60.0,neutral,flat,none,57.3,64.3,none,neutral,none,above_mid,16.48,True,contracting,above,bullish,above,none,35.1,above0,-52.5,neutral,rising,none,67.2,neutral,53.539,50.834,2.705,above_signal,contracting_pos,none,above,1501.79,1413.61,1223.69,bullish,rising,above,above,above,31.9,trending,+DI>-DI,rising,green_buy,none,57.89,3.74,expanding,1501.72,above,2.99,1548.03,1573.97,1520.67,1616.27,1474.27,mid_range
INGERRAND,352,4571.2,57.3,neutral,rising,none,64.2,49.7,none,neutral,none,above_mid,9.23,True,contracting,above,bullish,above,none,48.6,above0,-37.1,neutral,rising,none,64.0,neutral,50.781,44.379,6.402,above_signal,expanding_pos,bull,above,4447.51,4339.05,4003.57,bullish,rising,above,above,above,26.0,trending,+DI>-DI,rising,green_buy,none,138.52,3.03,expanding,4526.95,above,0.98,4611.4,4672.8,4509.8,4536.3,4343.6,above_R1
YATHARTH,352,844.0,52.2,neutral,rising,none,60.2,54.7,none,neutral,bearish,above_mid,7.25,True,expanding,above,bearish,above,none,12.3,above0,-44.5,neutral,falling,bullish,52.2,neutral,3.427,3.83,-0.403,below_signal,contracting_neg,none,above,839.33,822.73,738.88,bullish,rising,above,above,above,16.7,choppy,+DI>-DI,falling,green_buy,none,26.0,3.08,contracting,844.61,below,-0.07,847.65,855.3,836.35,868.85,792.8,mid_range
TARSONS,352,287.45,57.4,neutral,falling,none,58.0,68.3,bear,neutral,none,above_mid,26.78,False,contracting,above,bullish,above,none,23.8,above0,-58.4,neutral,rising,none,90.3,overbought,17.107,17.712,-0.605,below_signal,expanding_neg,bear,above,280.59,254.03,245.65,bullish,rising,above,above,above,43.5,trending,+DI>-DI,rising,green_buy,none,16.51,5.74,expanding,289.42,below,-0.68,291.7,297.85,281.3,323.4,272.6,mid_range
NARMADA,350,39.18,58.4,neutral,rising,none,43.8,26.1,bull,neutral,none,above_mid,28.06,False,expanding,inside,bearish,above,bear,52.8,above0,-33.8,neutral,rising,bullish,54.5,neutral,-0.187,-0.336,0.149,above_signal,expanding_pos,bull,below,36.64,36.38,31.16,bullish,rising,above,above,above,21.2,transitional,+DI>-DI,falling,red_sell,none,2.05,5.24,contracting,38.9,above,0.73,38.98,39.66,38.5,36.52,33.35,above_R2
SANGAMIND,350,636.95,80.8,overbought,rising,bearish,85.0,83.1,none,overbought,bearish,above_mid,25.54,False,expanding,above,bullish,above,none,175.4,strong_up,-10.8,overbought,rising,bullish,97.4,overbought,26.094,17.589,8.505,above_signal,expanding_pos,none,above,577.49,544.57,482.45,bullish,rising,above,above,above,44.6,trending,+DI>-DI,rising,green_buy,none,25.15,3.95,expanding,602.14,above,5.78,632.58,652.37,617.17,576.03,538.73,above_R2
AARTIIND,352,493.95,57.1,neutral,rising,none,80.3,75.6,none,overbought,none,above_mid,11.06,True,contracting,above,bullish,above,bull,109.1,strong_up,-30.1,neutral,rising,none,80.3,overbought,6.609,4.027,2.582,above_signal,contracting_pos,none,above,481.48,472.74,439.99,bullish,rising,above,above,above,16.5,choppy,+DI>-DI,rising,green_buy,none,16.11,3.26,expanding,484.47,above,1.96,495.25,505.8,483.4,502.72,463.77,mid_range
CORONA,147,2062.2,69.6,neutral,rising,none,72.1,73.6,bear,neutral,none,above_mid,12.65,True,contracting,above,bullish,above,none,33.6,above0,-34.2,neutral,rising,none,75.2,neutral,69.961,70.316,-0.355,below_signal,expanding_neg,bear,above,1981.67,1866.4,,n/a (short),n/a,above,above,n/a,53.5,trending,+DI>-DI,rising,green_buy,none,70.08,3.4,contracting,1982.53,above,4.02,2058.7,2098.5,2022.4,2093.5,1976.1,mid_range
TMB,351,797.35,58.4,neutral,rising,none,81.8,80.5,bull,overbought,none,above_mid,13.55,True,expanding,above,bullish,above,none,93.1,above0,-25.6,neutral,rising,none,76.7,neutral,15.894,12.867,3.027,above_signal,contracting_pos,none,above,773.68,744.91,635.95,bullish,rising,above,above,above,34.4,trending,+DI>-DI,rising,green_buy,none,26.86,3.37,contracting,771.97,above,3.29,796.42,805.73,788.03,823.5,764.15,mid_range
OPTIEMUS,351,588.95,74.4,overbought,falling,none,89.8,87.2,bull,overbought,none,above_mid,36.27,False,expanding,above,bullish,above,none,88.5,above0,-4.7,overbought,rising,none,87.7,overbought,37.187,31.455,5.732,above_signal,contracting_pos,none,above,525.72,478.0,469.89,bullish,rising,above,above,above,56.9,trending,+DI>-DI,rising,green_buy,none,25.64,4.35,expanding,511.06,above,15.24,585.43,598.77,575.62,568.67,512.77,above_R1
MANORAMA,352,1591.5,54.3,neutral,rising,none,55.4,55.7,bear,neutral,none,above_mid,7.93,True,contracting,above,bearish,above,none,15.0,above0,-48.5,neutral,rising,none,53.5,neutral,22.14,23.899,-1.758,below_signal,expanding_neg,none,above,1572.08,1523.36,1413.39,bullish,rising,above,above,above,27.3,trending,+DI>-DI,rising,green_buy,none,54.27,3.41,contracting,1587.88,above,0.23,1591.8,1607.4,1575.9,1651.37,1528.27,mid_range
SANGHVIMOV,352,421.2,48.9,neutral,falling,bearish,29.5,36.0,none,neutral,bearish,below_mid,14.86,True,contracting,above,bullish,above,none,-39.5,below0,-87.6,oversold,falling,bullish,65.3,neutral,11.283,17.115,-5.832,below_signal,expanding_neg,none,above,431.08,398.81,339.88,bullish,rising,below,above,above,38.2,trending,+DI>-DI,falling,green_buy,none,19.96,4.74,expanding,439.73,below,-4.21,422.43,430.97,412.67,476.17,439.17,below_S1
ASIANENE,352,356.65,53.6,neutral,rising,none,71.9,69.8,none,neutral,none,above_mid,20.21,True,expanding,above,bearish,below,none,31.5,above0,-42.0,neutral,rising,bullish,65.7,neutral,0.212,-1.765,1.977,above_signal,expanding_pos,bull,above,350.13,343.8,316.09,bullish,rising,above,above,above,22.8,transitional,+DI>-DI,falling,green_buy,buy_flip,16.57,4.65,expanding,357.65,below,-0.28,359.75,364.4,352.0,344.57,318.37,above_R2
PGIL,351,2041.3,62.3,neutral,rising,none,68.3,64.0,bull,neutral,none,above_mid,11.52,True,contracting,above,bullish,above,none,8.8,above0,-32.4,neutral,rising,none,59.2,neutral,71.16,80.656,-9.496,below_signal,expanding_neg,none,above,1969.67,1835.73,1620.36,bullish,rising,above,above,above,36.1,trending,+DI>-DI,falling,green_buy,none,78.75,3.86,contracting,2009.32,above,1.59,2030.83,2067.67,2004.47,2069.63,1913.83,mid_range
TRIVENI,352,472.15,66.7,neutral,falling,bearish,73.4,74.8,bear,neutral,bearish,above_mid,21.2,False,contracting,above,bullish,above,bull,46.9,above0,-22.3,neutral,rising,none,89.7,overbought,19.164,18.545,0.62,above_signal,contracting_pos,none,above,447.77,421.58,390.07,bullish,rising,above,above,above,50.1,trending,+DI>-DI,rising,green_buy,none,16.17,3.42,expanding,454.0,above,4.0,470.18,478.22,464.12,473.73,448.88,mid_range
LUXIND,352,1278.2,50.3,neutral,rising,none,58.4,63.6,bear,neutral,none,above_mid,9.32,True,expanding,below,bullish,above,bear,39.3,above0,-48.3,neutral,rising,none,80.2,overbought,-3.707,-13.216,9.509,above_signal,contracting_pos,none,below,1271.97,1283.03,1239.04,mixed,rising,above,below,above,17.2,choppy,+DI>-DI,falling,red_sell,none,44.99,3.52,contracting,1273.7,above,0.35,1284.43,1298.77,1263.87,1338.93,1215.13,mid_range
ASTERDM,352,819.9,61.7,neutral,rising,none,83.2,86.2,bear,overbought,none,above_mid,9.55,True,expanding,above,bullish,above,none,140.2,strong_up,-21.2,neutral,rising,none,78.3,neutral,13.612,11.695,1.916,above_signal,contracting_pos,none,above,797.25,770.55,685.35,bullish,rising,above,above,above,20.9,transitional,+DI>-DI,rising,green_buy,none,22.51,2.75,contracting,792.06,above,3.52,819.18,826.32,812.77,827.42,780.92,mid_range
530249,350,17.45,62.1,neutral,falling,none,61.0,68.1,none,neutral,none,above_mid,35.28,False,expanding,above,bullish,above,bull,70.8,above0,-30.9,neutral,rising,none,80.9,overbought,0.742,0.683,0.059,above_signal,contracting_pos,none,above,16.52,15.63,14.02,bullish,rising,above,above,above,21.7,transitional,+DI>-DI,rising,green_buy,none,1.44,8.28,expanding,16.7,above,4.46,17.49,18.95,15.99,18.78,16.28,mid_range
DIFFNKG,350,380.25,47.7,neutral,falling,none,17.0,22.8,none,oversold,none,below_mid,15.01,True,contracting,above,bullish,above,none,-42.8,below0,-95.0,oversold,falling,none,43.0,neutral,7.965,13.267,-5.302,below_signal,expanding_neg,none,above,390.12,365.31,324.08,bullish,rising,below,above,above,38.6,trending,+DI>-DI,falling,green_buy,none,17.64,4.64,contracting,402.88,below,-5.62,382.95,387.3,375.9,423.4,380.35,below_S1
542669,350,53.03,44.3,neutral,rising,none,41.1,43.3,bear,neutral,none,below_mid,18.98,True,contracting,inside,bearish,below,bear,-57.9,below0,-58.4,neutral,rising,none,30.7,neutral,-1.083,-0.717,-0.366,below_signal,contracting_neg,none,below,54.89,53.86,47.04,bullish,rising,below,below,above,19.1,choppy,-DI>+DI,falling,red_sell,none,2.93,5.52,contracting,55.83,below,-5.02,52.68,53.85,51.85,57.49,49.5,mid_range
SFL,352,761.1,57.5,neutral,falling,none,41.8,57.4,bear,neutral,bearish,above_mid,11.99,True,contracting,above,bullish,above,none,1.0,above0,-65.3,neutral,rising,none,69.3,neutral,26.991,30.439,-3.447,below_signal,expanding_neg,bear,above,749.95,694.0,633.02,bullish,rising,above,above,above,51.2,trending,+DI>-DI,rising,green_buy,none,29.03,3.81,expanding,763.48,below,-0.31,755.0,771.95,744.15,787.63,738.33,mid_range
IKIO,352,219.37,70.6,overbought,flat,none,80.7,79.3,bull,overbought,bearish,above_mid,54.55,False,expanding,above,bullish,above,bull,120.0,strong_up,-18.5,overbought,rising,none,96.5,overbought,15.445,11.97,3.475,above_signal,contracting_pos,none,above,191.19,173.4,169.31,bullish,rising,above,above,above,42.4,trending,+DI>-DI,rising,green_buy,none,14.34,6.54,expanding,198.88,above,10.3,220.27,234.1,205.54,233.83,182.83,mid_range
RAMRAT,351,410.75,49.9,neutral,rising,none,61.1,68.6,bear,neutral,none,below_mid,7.9,True,contracting,inside,bullish,above,bear,55.9,above0,-64.5,neutral,rising,bullish,64.2,neutral,3.401,2.411,0.989,above_signal,contracting_pos,none,above,412.14,405.07,361.42,bullish,rising,below,above,above,15.1,choppy,+DI>-DI,rising,red_sell,none,17.14,4.17,expanding,415.33,below,-1.1,422.38,435.77,397.37,432.08,399.83,mid_range
GOKEX,352,827.8,54.0,neutral,falling,none,35.3,40.8,bear,neutral,none,below_mid,9.19,True,contracting,above,bullish,above,none,-21.9,below0,-69.2,neutral,falling,none,52.0,neutral,21.171,28.892,-7.721,below_signal,expanding_neg,none,above,825.29,779.44,753.83,bullish,rising,above,above,above,25.0,trending,+DI>-DI,falling,green_buy,none,29.78,3.6,contracting,845.75,below,-2.12,824.72,839.93,812.58,869.17,797.17,mid_range
GANESHBE,351,104.41,54.6,neutral,rising,none,71.3,55.2,none,neutral,none,above_mid,15.04,True,expanding,above,bearish,below,bear,42.2,above0,-37.7,neutral,rising,none,72.2,neutral,-0.044,-0.4,0.356,above_signal,expanding_pos,bull,below,101.85,100.26,94.02,bullish,rising,above,above,above,17.5,choppy,+DI>-DI,rising,green_buy,none,4.7,4.5,expanding,103.82,above,0.57,104.89,106.52,102.77,102.59,92.81,above_R1
MAWANASUG,352,113.27,59.2,neutral,rising,none,88.7,89.9,bear,overbought,none,above_mid,18.56,True,expanding,above,bullish,above,bull,67.0,above0,-12.2,overbought,rising,bullish,70.6,neutral,2.294,1.754,0.54,above_signal,contracting_pos,none,above,109.69,106.11,96.3,bullish,rising,above,above,above,20.5,transitional,+DI>-DI,rising,green_buy,buy_flip,4.19,3.7,contracting,110.02,above,2.95,113.69,115.08,111.88,115.34,107.33,mid_range
PIXTRANS,350,1798.0,54.8,neutral,flat,none,61.9,71.5,bear,neutral,none,above_mid,18.29,False,contracting,above,bullish,above,none,15.5,above0,-63.4,neutral,rising,none,41.3,neutral,54.06,56.73,-2.67,below_signal,expanding_neg,bear,above,1780.99,1687.9,1554.77,bullish,rising,above,above,above,49.2,trending,+DI>-DI,rising,green_buy,none,69.49,3.86,expanding,1792.82,above,0.29,1809.77,1841.73,1766.03,1864.97,1746.07,mid_range
FINCABLES,352,1017.3,40.2,neutral,falling,none,9.1,11.0,bear,oversold,none,below_mid,19.89,True,expanding,inside,bearish,above,bear,-73.6,below0,-98.7,oversold,rising,none,36.4,neutral,-14.017,-3.261,-10.755,below_signal,expanding_neg,none,below,1068.96,1056.08,943.25,bullish,rising,below,below,above,15.3,choppy,-DI>+DI,falling,red_sell,none,40.39,3.97,contracting,1120.43,below,-9.2,1030.77,1046.53,1001.53,1103.93,1012.83,mid_range
SSWL,351,266.21,71.6,overbought,rising,none,67.2,71.1,bear,neutral,none,above_mid,19.5,False,expanding,above,bullish,above,none,131.6,strong_up,-30.3,neutral,rising,none,91.7,overbought,9.533,7.618,1.914,above_signal,expanding_pos,bull,above,245.94,232.39,216.27,bullish,rising,above,above,above,40.5,trending,+DI>-DI,rising,green_buy,none,10.99,4.13,expanding,259.21,above,2.7,265.21,272.4,259.01,256.31,235.07,above_R1
PRITIKAUTO,351,18.29,58.9,neutral,flat,none,60.0,67.4,bear,neutral,none,above_mid,25.58,False,contracting,above,bullish,above,bull,29.0,above0,-34.7,neutral,rising,none,83.2,overbought,0.754,0.773,-0.018,below_signal,expanding_neg,bear,above,17.42,16.1,15.08,bullish,rising,above,above,above,30.5,trending,+DI>-DI,falling,green_buy,buy_flip,1.06,5.79,expanding,18.53,below,-1.27,18.16,18.62,17.83,19.35,16.67,mid_range
PRIVISCL,351,3676.5,58.5,neutral,rising,bearish,74.1,70.6,none,neutral,none,above_mid,6.1,True,contracting,above,bullish,above,none,13.1,above0,-32.8,neutral,rising,bullish,55.6,neutral,71.824,79.596,-7.771,below_signal,expanding_neg,none,above,3613.27,3466.29,3047.55,bullish,rising,above,above,above,30.3,trending,+DI>-DI,rising,green_buy,none,96.58,2.63,contracting,3637.92,above,1.06,3664.7,3724.4,3616.8,3735.37,3547.87,mid_range
NDLVENTURE,350,128.18,42.5,neutral,falling,none,15.8,23.6,bear,oversold,none,below_lower,4.44,True,contracting,inside,bearish,above,none,-134.9,strong_down,-90.9,oversold,falling,none,57.9,neutral,0.148,0.725,-0.577,below_signal,expanding_neg,none,above,130.59,128.31,111.07,bullish,rising,below,below,above,22.8,transitional,-DI>+DI,falling,green_buy,none,4.04,3.15,contracting,131.97,below,-2.88,128.74,129.42,127.49,136.99,127.75,mid_range
PSPPROJECT,350,1046.3,58.6,neutral,falling,none,56.2,59.0,bear,neutral,bearish,above_mid,15.91,True,contracting,above,bullish,above,none,15.6,above0,-55.2,neutral,rising,none,76.7,neutral,43.65,48.778,-5.129,below_signal,expanding_neg,bear,above,1027.03,943.87,825.34,bullish,rising,above,above,above,42.5,trending,+DI>-DI,falling,green_buy,none,44.1,4.21,contracting,1048.28,below,-0.19,1052.57,1070.93,1027.93,1133.47,1014.47,mid_range
KRISHNADEF,351,1281.1,52.9,neutral,falling,none,60.1,60.2,bear,neutral,none,below_mid,13.34,True,contracting,above,bullish,above,none,-5.4,below0,-44.2,neutral,rising,none,36.1,neutral,21.132,25.155,-4.024,below_signal,expanding_neg,none,above,1274.58,1217.71,1028.8,bullish,rising,above,above,above,23.6,transitional,+DI>-DI,rising,green_buy,none,61.36,4.79,contracting,1261.91,above,1.52,1284.03,1310.97,1254.17,1368.43,1262.53,mid_range
NAM-INDIA,352,1186.5,53.6,neutral,falling,none,45.5,54.5,none,neutral,none,above_mid,8.64,True,contracting,above,bullish,above,none,-15.8,below0,-49.0,neutral,falling,none,54.9,neutral,17.9,24.044,-6.144,below_signal,contracting_neg,bear,above,1178.03,1129.57,972.94,bullish,rising,above,above,above,23.4,transitional,-DI>+DI,falling,green_buy,none,37.26,3.14,expanding,1182.71,above,0.32,1176.13,1204.97,1157.67,1244.07,1170.07,mid_range
NELCAST,351,128.43,38.9,neutral,falling,none,5.8,6.6,none,oversold,bullish,below_mid,12.78,True,expanding,below,bearish,below,bear,-149.6,strong_down,-96.1,oversold,falling,none,72.6,neutral,-1.752,-0.781,-0.972,below_signal,expanding_neg,bear,below,135.89,136.28,127.89,mixed,rising,below,below,above,27.3,trending,+DI>-DI,falling,red_sell,sell_flip,6.35,4.94,contracting,142.67,below,-9.98,129.77,132.34,125.86,145.6,133.6,below_S1
LLOYDSENT,351,77.9,56.7,neutral,rising,bearish,79.4,80.4,bear,neutral,bearish,above_mid,12.41,True,contracting,above,bullish,above,none,37.2,above0,-31.6,neutral,rising,bullish,68.9,neutral,1.907,1.728,0.179,above_signal,contracting_pos,bull,above,75.86,72.2,65.05,bullish,rising,above,above,above,21.2,transitional,+DI>-DI,rising,green_buy,none,3.45,4.43,expanding,77.34,above,0.72,77.9,79.29,76.51,81.25,72.6,mid_range
NIBE,352,1505.4,43.5,neutral,falling,none,31.0,38.8,bear,neutral,none,below_mid,20.21,True,contracting,above,bearish,above,none,-97.3,below0,-83.5,oversold,falling,none,45.5,neutral,5.12,28.388,-23.268,below_signal,expanding_neg,none,above,1582.27,1486.88,1283.62,bullish,rising,below,above,above,24.3,transitional,-DI>+DI,falling,red_sell,none,76.5,5.08,contracting,1663.83,below,-9.52,1510.77,1529.33,1486.83,1709.13,1485.93,mid_range
JASH,350,520.45,55.7,neutral,rising,none,63.9,66.1,bear,neutral,none,below_mid,16.26,True,contracting,above,bullish,above,none,-5.7,below0,-37.8,neutral,rising,none,46.7,neutral,14.487,16.771,-2.284,below_signal,expanding_neg,none,above,511.53,479.28,454.63,bullish,rising,above,above,above,19.4,choppy,+DI>-DI,falling,green_buy,none,22.28,4.28,contracting,524.23,below,-0.72,519.58,526.07,513.97,556.5,494.5,mid_range
539479,350,69.63,40.4,neutral,falling,none,14.3,10.5,bull,oversold,bearish,below_mid,21.15,True,expanding,inside,bearish,below,bear,-73.9,below0,-80.1,oversold,falling,none,33.2,neutral,-1.245,-0.474,-0.77,below_signal,contracting_neg,none,below,72.39,71.74,66.27,bullish,rising,below,below,above,19.8,choppy,-DI>+DI,falling,red_sell,sell_flip,3.78,5.44,contracting,74.79,below,-6.9,69.87,70.75,68.76,75.82,67.22,mid_range
LANDMARK,351,526.25,72.1,overbought,rising,none,64.7,63.7,none,neutral,none,above_upper,27.68,False,expanding,above,bullish,above,bull,187.4,strong_up,-26.8,neutral,rising,bullish,90.3,overbought,21.413,13.041,8.372,above_signal,expanding_pos,bull,above,455.17,431.38,443.31,mixed,rising,above,above,above,40.6,trending,+DI>-DI,rising,green_buy,none,28.81,5.48,expanding,510.58,above,3.07,515.57,544.68,497.13,442.93,410.13,above_R2
SUNFLAG,352,344.65,48.7,neutral,rising,none,53.4,48.9,none,neutral,none,above_mid,8.72,True,contracting,inside,bearish,above,bear,8.0,above0,-54.3,neutral,rising,none,67.1,neutral,-2.468,-3.54,1.072,above_signal,contracting_pos,bull,below,345.95,342.17,298.24,bullish,rising,below,above,above,11.0,choppy,-DI>+DI,falling,red_sell,none,14.58,4.23,contracting,346.24,below,-0.46,345.97,353.68,336.93,356.03,326.33,mid_range
NELCO,352,867.15,53.1,neutral,falling,none,13.8,21.2,bear,oversold,none,below_mid,11.63,True,contracting,above,bullish,above,none,-30.2,below0,-77.8,neutral,falling,none,55.7,neutral,25.345,38.026,-12.681,below_signal,expanding_neg,none,above,870.77,807.99,757.26,bullish,rising,below,above,above,37.9,trending,+DI>-DI,falling,green_buy,none,39.69,4.58,expanding,911.27,below,-4.84,863.43,885.67,844.92,931.7,862.0,mid_range
