symbol,mcap_cr,yahoo_ticker,name,exchange,CMP,dist_52wh_pct,rsi,adx,above_ema200,above_ema50,vol_drying,vol_spike10,base_depth_pct,weeks_base,cmf,macd_hist,confA_macd,confB_cmf,confC_obv,confE_vcp,confF_no_supply,gannG_sq9,gannH_cycle,next_resistance,vcp_contractions
CENTRUM,1069.08,CENTRUM.NS,Centrum Capital Limited,NSE,21.94,47.64,30.2,5.9,False,False,True,False,24.7,91.8,-0.37,-0.032,True,False,False,True,True,False,True,25.0,3
CIFL,949.88,CIFL.NS,Capital India Finance Limited,NSE,24.23,45.55,35.8,14.0,False,False,True,False,25.5,89.8,-0.283,-0.145,True,False,False,True,True,False,True,24.94,3
CGCL,19459.56,CGCL.NS,Capri Global Capital Limited,NSE,202.77,5.25,68.5,33.3,True,True,False,True,15.1,84.2,-0.129,1.158,False,False,False,False,True,True,True,204.9,3
CESC,23694.57,CESC.NS,CESC Limited,NSE,178.61,12.66,48.2,21.9,True,True,True,True,24.2,88.8,-0.095,-1.018,False,False,False,True,False,True,True,181.83,3
CGPOWER,147715.24,CGPOWER.NS,CG Power and Industrial Solutions Limited,NSE,937.85,1.49,68.1,28.6,True,True,True,True,25.9,84.0,0.051,2.347,False,True,False,False,True,True,True,952.0,3
BSE,,BSE.NS,BSE Limited,NSE,3880.0,12.75,46.5,42.5,True,True,True,False,28.0,85.4,-0.026,-65.493,False,False,True,True,True,True,False,3985.0,3
CHAMBLFERT,18736.5,CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Limited,NSE,467.7,19.46,56.5,11.8,False,True,False,True,12.6,85.4,0.122,0.213,False,True,False,True,False,True,True,474.55,3
CHALET,17002.7,CHALET.NS,Chalet Hotels Limited,NSE,777.45,28.15,48.0,14.6,False,False,True,True,10.2,90.4,0.16,-2.479,False,True,True,True,True,True,True,797.95,3
BHARTIARTL,1096150.49,BHARTIARTL.NS,Bharti Airtel Limited,NSE,1798.2,17.31,40.5,20.3,False,False,False,True,10.9,86.8,-0.145,-7.314,False,False,False,True,False,True,False,1840.8,3
BHARTIHEXA,73990.0,BHARTIHEXA.NS,Bharti Hexacom Limited,NSE,1480.5,27.88,40.6,15.5,False,False,True,False,10.6,86.4,0.111,-7.33,False,True,True,True,True,True,True,1543.0,3
BIKAJI,16406.94,BIKAJI.NS,Bikaji Foods International Limited,NSE,654.95,20.0,49.7,13.4,False,False,True,True,12.2,89.6,0.109,-0.604,True,True,True,False,True,True,False,670.0,3
